CCTV,#genre#
CCTV5,http://li0580.top:35455/gaoma/cctv5.m3u8$LR•IPV4『线路10』
CCTV5+,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$LR•IPV6『线路1』
CCTV5+,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$LR•IPV6『线路2』
CCTV5+,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8$LR•IPV6『线路3』
CCTV5+,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8$LR•IPV6『线路4』
CCTV5+,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225603/index.m3u8$LR•IPV6『线路5』
CCTV5+,http://tv.kmhlzxs.top:35455/gaoma/cctv5p.m3u8$LR•IPV4『线路6』
CCTV5+,http://43.248.128.135:35455/gaoma/cctv5p.m3u8$LR•IPV4『线路7』
CCTV5+,http://li0580.top:35455/gaoma/cctv5p.m3u8$LR•IPV4『线路8』
CCTV5+,http://www.douzhicloud.site:35455/gaoma/cctv5p.m3u8$LR•IPV4『线路9』
CCTV5+,http://www.terrykang.xyz:35455/gaoma/cctv5p.m3u8$LR•IPV4『线路10』
CCTV6,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/2/224/3221226010/2.m3u8$LR•IPV6『线路1』
CCTV6,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$LR•IPV6『线路2』
CCTV6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$LR•IPV6『线路3』
CCTV6,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$LR•IPV6『线路4』
CCTV6,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226010/index.m3u8$LR•IPV6『线路5』
CCTV6,http://www.terrykang.xyz:35455/gaoma/cctv6.m3u8$LR•IPV4『线路6』
CCTV6,http://tv.kmhlzxs.top:35455/gaoma/cctv6.m3u8$LR•IPV4『线路7』
CCTV6,http://www.douzhicloud.site:35455/gaoma/cctv6.m3u8$LR•IPV4『线路8』
